gene_id	string_protein_id	propagate_score
CACNB1	9606.ENSP00000377840	2.2471661585131045e-05
CNIH3	9606.ENSP00000272133	2.1146393102060652e-05
GRIA2	9606.ENSP00000296526	7.254180011590099e-05
GRIN2D	9606.ENSP00000263269	4.081732389155047e-05
CACNG6	9606.ENSP00000252729	2.9520593370132816e-05
CATSPERG	9606.ENSP00000386962	2.5359101742230867e-05
CACNA1H	9606.ENSP00000334198	6.078472586740555e-05
CACNB3	9606.ENSP00000301050	3.192960170780079e-05
GRIN2A	9606.ENSP00000332549	0.00010445062933343768
GRIN2B	9606.ENSP00000477455	0.00014184103172110624
CACNG2	9606.ENSP00000300105	7.264233451891879e-05
TMEM132A	9606.ENSP00000005286	1.2398400650629974e-06
HSPA5	9606.ENSP00000324173	0.0002365454365081825
DVL2	9606.ENSP00000005340	0.00015220326457359695
CXXC4	9606.ENSP00000378248	6.89411617326336e-06
GNAQ	9606.ENSP00000286548	0.00025155362421519246
FRAT1	9606.ENSP00000360060	1.8907616382457123e-05
WWP2	9606.ENSP00000352069	7.696070024618158e-05
NOTCH3	9606.ENSP00000263388	0.00010864779556807433
WNT3A	9606.ENSP00000284523	0.0001332420039490141
VANGL1	9606.ENSP00000347672	2.5743669596786883e-05
AP2M1	9606.ENSP00000403362	9.137121490488598e-05
DVL3	9606.ENSP00000316054	9.369590107966403e-05
KLHL12	9606.ENSP00000356230	6.267421945361796e-05
FZD3	9606.ENSP00000240093	6.537803908733207e-05
DACT1	9606.ENSP00000337439	1.2430812652975952e-05
TRIM29	9606.ENSP00000343129	1.333959397431769e-05
FZD5	9606.ENSP00000354607	7.04902151985494e-05
WWOX	9606.ENSP00000457230	0.00011953938340524634
FRAT2	9606.ENSP00000360058	1.2593989164986665e-05
CSNK2A3	9606.ENSP00000473553	2.6848310505060822e-05
CTNNB1	9606.ENSP00000495360	0.001691593724597506
DVL1	9606.ENSP00000368166	0.00018383098315714156
AXIN2	9606.ENSP00000302625	0.00015680361087820393
NXN	9606.ENSP00000337443	1.204903943848307e-05
NOTCH1	9606.ENSP00000498587	0.00066338276174899
NKD2	9606.ENSP00000296849	9.838399489951053e-06
SMURF2	9606.ENSP00000262435	0.00014054297495634822
WWP1	9606.ENSP00000427793	0.00012383426180828614
PRICKLE1	9606.ENSP00000345064	1.8062732592626873e-05
WNT1	9606.ENSP00000293549	0.00010943907558548464
WWTR1	9606.ENSP00000419465	0.00020132326024854046
ARRB2	9606.ENSP00000403701	0.00021216954595458689
CSNK2B	9606.ENSP00000365042	8.467284618714616e-05
FZD4	9606.ENSP00000434034	6.962279750912609e-05
PRICKLE3	9606.ENSP00000470248	1.0018891013446802e-05
FZD7	9606.ENSP00000286201	7.430401999872402e-05
FZD2	9606.ENSP00000323901	7.64621340109264e-05
